unclassified	misclassified	tp	fp	method	file
0.024901528806996462	0.045764069697576605	0.003872087589291675	0.01699045330128847	Kraken2	HQ
0.011825078090138332	0.025252525252525252	0.00040566305626546593	0.013021784106121455	Kraken2	LQ
0.0030709660190933975	0.013118365711996795	0.003905467654716603	0.006141932038186795	Centrifuger	HQ
0.0012169891687963978	0.009492515516611903	0.0004462293618920125	0.007829296985923492	Centrifuger	LQ
0.005607850991387943	0.007911075505707991	3.3380065424928234e-05	0.00226984444889512	MetaMaps	HQ
0.009756196503184454	0.01642935377875137	2.0283152813273295e-05	0.006652874122753641	MetaMaps	LQ
0.05420922625008345	0.05644569063355364	0.00113492222444756	0.0011015421590226317	MEGAN-LR	HQ
0.04863900044622936	0.04924749503062756	0.00014198206969291306	0.0004665125147052858	MEGAN-LR	LQ
0.0	0.004973629748314307	0.0014687228786968423	0.0035049068696174643	minimap2+BH	HQ
0.0	0.0029816234635511745	0.00026368098657255284	0.0027179424769786216	minimap2+BH	LQ
0.0	0.007977835636557847	0.007911075505707991	6.676013084985647e-05	minimap2+EM	HQ
0.0	0.001869283663795981	0.00170238333667134	0.00016690032712464117	minimap2+RO	HQ
0.0	0.004786824063932498	0.004259462090787392	0.0005273619731451057	minimap2+EM	LQ
0.0	0.000892458723784025	0.00026368098657255284	0.0006287777372114722	minimap2+RO	LQ
